id,key,value,type
5149025,foot,yes,regular
5149025,name,Upper Jordan Fire Trail,regular
5149025,oneway,no,regular
5149025,bicycle,no,regular
5149025,highway,track,regular
5149025,surface,dirt,regular
5149025,motorcar,no,regular
5149025,motorcycle,no,regular
5149025,motor_vehicle,no,regular
6319769,ref,I 238 North,destination
6319769,highway,motorway_link,regular
6319769,oneway,yes,regular
6319769,cfcc,A63,tiger
6319769,county,"Alameda, CA",tiger
6322603,destination,106th Avenue;Foothill Boulevard,regular
6322603,highway,motorway_link,regular
6322603,ref,29B,junction
6322603,lanes,1,regular
6322603,oneway,yes,regular
6322603,cfcc,A63,tiger
6322603,county,"Alameda, CA",tiger
6322603,reviewed,no,tiger
6324872,bicycle,no,regular
6324872,ref,CA 77 North,destination
6324872,highway,motorway_link,regular
6324872,oneway,yes,regular
6324872,cfcc,A63,tiger
6324872,county,"Alameda, CA",tiger
6326932,name,Maritime Street,regular
6326932,lanes,4,regular
6326932,highway,secondary,regular
6326932,sidewalk,left,regular
6326932,cfcc,A41,tiger
6326932,county,"Alameda, CA",tiger
6326932,forward,1,lanes
6326932,backward,3,lanes
6326932,name_base,Maritime,tiger
6326932,name_type,St,tiger
6326932,lanes:backward,left|left|,turn
6327379,name,Oriole Avenue,regular
6327379,highway,residential,regular
6327379,cfcc,A41,tiger
6327379,county,"Alameda, CA",tiger
6327379,reviewed,no,tiger
6327379,name_base,Oriole,tiger
6327379,name_type,Ave,tiger
6327910,name,Barry Court,regular
6327910,highway,residential,regular
6327910,cfcc,A41,tiger
6327910,county,"Alameda, CA",tiger
6327910,reviewed,no,tiger
6327910,name_base,Barry,tiger
6327910,name_type,Ct,tiger
6328342,name,Bayo Vista Avenue,regular
6328342,highway,residential,regular
6328342,cycleway,shared_lane,regular
6328342,cfcc,A41,tiger
6328342,county,"Alameda, CA",tiger
6328342,name_base,Bayo Vista,tiger
6328342,name_type,Ave,tiger
6328913,name,Chico Court,regular
6328913,highway,residential,regular
6328913,cfcc,A41,tiger
6328913,county,"Alameda, CA",tiger
6328913,reviewed,no,tiger
6328913,name_base,Chico,tiger
6328913,name_type,Ct,tiger
6329588,name,Winding Boulevard,regular
6329588,highway,residential,regular
6329588,cfcc,A41,tiger
6329588,county,"Alameda, CA",tiger
6329588,reviewed,no,tiger
6329588,name_base,Winding,tiger
6329588,name_type,Blvd,tiger
6330095,bicycle,yes,regular
6330095,cycleway,no,regular
6330095,foot,yes,regular
6330095,highway,residential,regular
6330095,lanes,1,regular
6330095,name,Berkeley Park Boulevard,regular
6330095,oneway,no,regular
6330095,sidewalk,both,regular
6330095,surface,paved,regular
6330095,cfcc,A41,tiger
6330095,county,"Alameda, CA",tiger
6330095,name_base,Curtis,tiger
6330095,name_type,St,tiger
6330579,name,Gilroy Court,regular
6330579,highway,residential,regular
6330579,cfcc,A41,tiger
6330579,county,"Alameda, CA",tiger
6330579,name_base,Gilroy,tiger
6330579,name_type,Ct,tiger
6331178,name,Cumana Circle,regular
6331178,highway,residential,regular
6331178,maxspeed,25 mph,regular
6331178,cfcc,A41,tiger
6331178,county,"Alameda, CA",tiger
6331178,reviewed,no,tiger
6331178,name_base,Cumana,tiger
6331178,name_type,Cir,tiger
6331789,name,Wexford Place,regular
6331789,highway,residential,regular
6331789,cfcc,A41,tiger
6331789,county,"Alameda, CA",tiger
6331789,reviewed,no,tiger
6331789,name_base,Wexford,tiger
6331789,name_type,Pl,tiger
6332410,name,Red Cedar Lane,regular
