id,user,uid,version,changeset,timestamp
5149025,fproulx,3081437,9,32783069,2015-07-21T17:14:56Z
6319769,piligab,3877019,7,50623490,2017-07-27T15:46:34Z
6322603,piligab,3877019,11,50630077,2017-07-27T19:50:43Z
6324872,yurasi,3526564,15,51155319,2017-08-16T00:33:39Z
6326932,TheDutchMan13,1330847,39,49323801,2017-06-07T04:22:04Z
6327379,Luis36995,1829683,6,49597623,2017-06-16T17:36:54Z
6327910,TheDutchMan13,1330847,5,49322750,2017-06-07T02:21:28Z
6328342,TheDutchMan13,1330847,8,49323801,2017-06-07T04:22:13Z
6328913,TheDutchMan13,1330847,4,49323801,2017-06-07T04:22:17Z
6329588,TheDutchMan13,1330847,5,49324632,2017-06-07T05:26:08Z
6330095,emeryradio,5355691,10,51238361,2017-08-18T16:44:03Z
6330579,TheDutchMan13,1330847,4,49348211,2017-06-07T20:56:57Z
6331178,TheDutchMan13,1330847,7,49348211,2017-06-07T20:57:03Z
6331789,TheDutchMan13,1330847,5,49322750,2017-06-07T02:21:40Z
6332410,oba510,933797,7,46210188,2017-02-19T09:31:29Z
6332965,TheDutchMan13,1330847,12,49324632,2017-06-07T05:26:50Z
6333517,TheDutchMan13,1330847,4,49324632,2017-06-07T05:26:57Z
6334056,TheDutchMan13,1330847,4,49348211,2017-06-07T20:57:30Z
6334548,TheDutchMan13,1330847,11,49323801,2017-06-07T04:22:53Z
6335108,TheDutchMan13,1330847,6,49324632,2017-06-07T05:27:21Z
6335596,TheDutchMan13,1330847,9,49323801,2017-06-07T04:23:00Z
6335985,TheDutchMan13,1330847,4,49348211,2017-06-07T20:57:48Z
6336567,TheDutchMan13,1330847,5,49324632,2017-06-07T05:27:43Z
6337212,happy5214,199837,61,49016724,2017-05-27T05:16:57Z
6338076,TheDutchMan13,1330847,21,49323801,2017-06-07T04:23:10Z
6338577,TheDutchMan13,1330847,6,49324632,2017-06-07T05:28:05Z
6339121,TheDutchMan13,1330847,7,49323801,2017-06-07T04:23:17Z
6339766,TheDutchMan13,1330847,5,49348211,2017-06-07T20:58:16Z
6340423,calfarome,2511706,4,49568199,2017-06-15T16:19:11Z
6340964,tahongawaka,162110,7,7732198,2011-04-01T05:56:22Z
6341600,TheDutchMan13,1330847,8,49322750,2017-06-07T02:22:13Z
6342110,TheDutchMan13,1330847,6,49324632,2017-06-07T05:28:52Z
6342724,TheDutchMan13,1330847,9,49324632,2017-06-07T05:29:00Z
6343826,TheDutchMan13,1330847,3,49324632,2017-06-07T05:29:07Z
6344534,TheDutchMan13,1330847,5,49349309,2017-06-07T21:55:08Z
6344991,TheDutchMan13,1330847,7,49324632,2017-06-07T05:29:27Z
6345351,TheDutchMan13,1330847,4,49324632,2017-06-07T05:29:35Z
6345837,TheDutchMan13,1330847,6,49322750,2017-06-07T02:22:24Z
6346226,TheDutchMan13,1330847,14,49322750,2017-06-07T02:22:26Z
6346560,Luis36995,1829683,9,49574586,2017-06-15T21:16:10Z
6347001,TheDutchMan13,1330847,4,49322750,2017-06-07T02:22:29Z
