id,node_id,position
5149025,33947370,0
5149025,775884633,1
5149025,33947372,2
5149025,760723610,3
5149025,33947375,4
5149025,33947377,5
5149025,760723712,6
5149025,251225802,7
5149025,760723713,8
5149025,33947378,9
5149025,760723714,10
5149025,760723715,11
5149025,775884657,12
5149025,33947380,13
5149025,33947381,14
5149025,760723716,15
5149025,775884669,16
5149025,33947383,17
5149025,760723717,18
5149025,775884686,19
5149025,760723718,20
5149025,33947384,21
5149025,33947385,22
5149025,33947387,23
5149025,775884693,24
5149025,760723719,25
5149025,33947388,26
5149025,775884694,27
5149025,760723720,28
5149025,33947390,29
5149025,775884695,30
5149025,33947393,31
5149025,775884697,32
5149025,775884699,33
5149025,775884700,34
5149025,33947395,35
5149025,33947399,36
5149025,33947401,37
6319769,242858358,0
6319769,242858357,1
6319769,242858356,2
6319769,242858355,3
6319769,242858354,4
6319769,242858353,5
6319769,242858352,6
6319769,242858351,7
6319769,242858350,8
6319769,651302127,9
6319769,242858349,10
6319769,242858348,11
6319769,242858269,12
6322603,52996944,0
6322603,1232240026,1
6322603,1232240004,2
6322603,1306686011,3
6322603,1306686277,4
6322603,1306686002,5
6322603,1306686023,6
6322603,1306686053,7
6322603,1306686116,8
6322603,3078406509,9
6324872,53006997,0
6324872,1953866631,1
6324872,1332016754,2
6324872,1332016767,3
6324872,255359322,4
6324872,255359323,5
6324872,678962653,6
6324872,255359324,7
6324872,255359325,8
6324872,1332016817,9
6324872,255359326,10
6324872,1332016813,11
6324872,255359327,12
6324872,255359328,13
6324872,255359329,14
6324872,222354677,15
6326932,99591354,0
6326932,3968600931,1
6326932,99582488,2
6327379,53018684,0
6327379,4919441005,1
6327379,598736657,2
6327379,598736658,3
6327379,4919441003,4
6327379,53018686,5
6327379,53018688,6
6327379,311728438,7
6327379,311728439,8
6327379,53018690,9
6327910,53021102,0
6327910,53021104,1
6328342,53022690,0
6328342,53022693,1
6328342,3232011645,2
6328342,53022695,3
6328913,53025126,0
6328913,53025127,1
6329588,53027430,0
6329588,53027431,1
6329588,2563434760,2
6329588,2563434758,3
6329588,53027433,4
6329588,441521062,5
6329588,53027434,6
6329588,441521063,7
6329588,441521064,8
6329588,53027435,9
6330095,53029052,0
6330095,5043351846,1
6330579,53030951,0
6330579,53030952,1
6330579,312102206,2
6331178,53033547,0
6331178,53033549,1
6331178,53033551,2
6331789,53035604,0
6331789,53035605,1
6332410,53037546,0
6332410,718402996,1
6332410,53037547,2
6332410,718402997,3
6332410,2530323109,4
6332410,53037553,5
6332965,53027994,0
6332965,2395872229,1
6332965,2395872231,2
6333517,53040409,0
6333517,53040410,1
6334056,53041891,0
6334056,53041892,1
6334548,53043427,0
6334548,53043428,1
6334548,256192561,2
6334548,4706480764,3
6334548,4706479658,4
6334548,256192563,5
6334548,4706475331,6
6334548,53043430,7
6334548,256180466,8
6334548,256180467,9
6334548,53026527,10
6334548,256180468,11
6334548,256180469,12
6334548,4117017591,13
6334548,256180470,14
6334548,53043433,15
6334548,256181165,16
6334548,2055633535,17
6334548,53043435,18
6334548,53043436,19
6334548,256181431,20
6334548,53017005,21
6334548,53043437,22
6334548,53043438,23
6334548,53043439,24
6335108,53044945,0
6335108,53044946,1
6335108,53044950,2
6335108,3449508270,3
6335108,3449508268,4
6335108,53044951,5
6335108,53044953,6
6335596,53046509,0
6335596,3145798587,1
6335596,259196357,2
6335596,53046512,3
6335596,3145798586,4
6335596,3145798585,5
6335596,259196303,6
6335596,259196304,7
6335596,259196305,8
6335596,259196306,9
6335596,259196307,10
6335596,685989977,11
6335596,259196308,12
6335596,685989978,13
6335596,259196309,14
6335596,259196310,15
6335596,53046513,16
6335985,53047905,0
6335985,53047906,1
6336567,53049888,0
6336567,4238610502,1
6336567,4238610499,2
6336567,4238610501,3
6336567,4238610498,4
6336567,53049889,5
6336567,2147790957,6
6336567,2147790955,7
6336567,53033474,8
6337212,4558495666,0
6337212,251592168,1
6337212,53051787,2
6337212,53051789,3
6337212,53051791,4
6337212,2333960321,5
6337212,311685509,6
6337212,53051792,7
6337212,53051794,8
6337212,310702715,9
6337212,310702090,10
6337212,310701725,11
6337212,2333960364,12
6337212,53051802,13
6337212,53051803,14
6337212,650076579,15
6337212,53051805,16
6337212,53051807,17
6337212,2333960333,18
6337212,826985439,19
6337212,826985434,20
6337212,650076586,21
6337212,53051814,22
6337212,53051815,23
6338076,53054947,0
6338076,266712332,1
6338076,792213668,2
6338076,266712335,3
6338076,792213640,4
6338076,266712337,5
6338076,266712340,6
6338076,792213548,7
6338076,266712342,8
6338076,792213539,9
6338076,266712344,10
6338076,792213592,11
6338076,266712346,12
6338076,53033493,13
6338076,792213564,14
6338076,100534111,15
6338076,269109328,16
6338076,53054948,17
6338076,792213669,18
6338076,100534115,19
6338076,269109330,20
6338076,792213603,21
6338076,100534119,22
6338076,792213634,23
6338076,339928450,24
6338076,100534125,25
6338076,100534152,26
6338076,269109331,27
6338076,792213577,28
6338076,269109333,29
6338076,339928451,30
6338076,53054949,31
6338076,53054952,32
6338076,100534156,33
6338076,269109335,34
6338076,269109338,35
6338076,53054953,36
6338076,53054955,37
6338076,269109340,38
6338076,269109342,39
6338076,339928449,40
6338076,53054957,41
6338076,269109343,42
6338076,100534207,43
6338076,100534215,44
6338076,269109345,45
6338076,269109097,46
6338076,53054959,47
6338076,269301408,48
6338076,100554555,49
6338076,339928448,50
6338076,269109096,51
6338076,269301385,52
6338076,53054961,53
6338076,100554552,54
6338076,100554530,55
6338076,469612609,56
6338076,53025638,57
6338076,288988884,58
6338076,53054964,59
6338076,270661383,60
6338076,288988881,61
6338076,270661384,62
6338076,270661386,63
6338076,100554589,64
6338076,269109107,65
6338076,339928442,66
6338076,53054966,67
6338577,53056427,0
6338577,53056428,1
6338577,53032069,2
6338577,53047664,3
6339121,53057701,0
6339121,682821188,1
6339121,247703768,2
6339121,247703769,3
6339121,682821197,4
6339121,247703770,5
6339121,899944641,6
6339121,682821206,7
6339121,899944555,8
6339121,899944557,9
6339121,53057704,10
6339766,53059669,0
6339766,430162174,1
6339766,430162177,2
6339766,53059671,3
6340423,53024779,0
6340423,4917219415,1
6340423,53061337,2
6340423,53061339,3
6340423,53061341,4
6340423,4917219418,5
6340423,4917219417,6
6340423,53061343,7
6340423,4917219416,8
6340423,430204858,9
6340423,4917219420,10
6340423,4917219419,11
6340423,53024777,12
6340964,53028228,0
6340964,53062595,1
6340964,53062597,2
6340964,53027574,3
6340964,53062599,4
6340964,53003894,5
6340964,1227619474,6
6340964,53003886,7
6340964,52997123,8
6341600,2459805835,0
6341600,432261806,1
6341600,53062098,2
6342110,53065551,0
6342110,53065553,1
6342110,53065555,2
6342724,53056779,0
6342724,53066793,1
6342724,4769165072,2
6342724,674273351,3
6342724,53066795,4
6342724,674273353,5
6342724,53066797,6
6342724,53066799,7
6342724,4769165062,8
6342724,53066801,9
6342724,4769165058,10
6342724,53066803,11
6342724,53063891,12
6342724,674273354,13
6342724,249924832,14
6342724,53066805,15
6342724,674273356,16
6342724,2202868449,17
6342724,4769165031,18
6342724,2202868441,19
6342724,53064441,20
6342724,2202868550,21
6342724,53066808,22
6343826,52998024,0
6343826,53068681,1
6343826,53068683,2
6344534,349922999,0
6344534,349923000,1
6344534,53070292,2
6344534,53070293,3
6344991,53025130,0
6344991,53072791,1
6344991,53072792,2
6344991,2440963602,3
6344991,3632439887,4
6344991,53072795,5
6344991,2440963603,6
6344991,53072797,7
6344991,2440963604,8
6344991,442833637,9
6344991,2440963605,10
6344991,53072798,11
6344991,2440963606,12
6344991,53072799,13
6344991,53072800,14
6344991,2440963607,15
6344991,53072804,16
6344991,442833640,17
6344991,2440963608,18
6344991,442833641,19
6345351,53074073,0
6345351,53074074,1
6345351,53074076,2
6345837,712799040,0
6345837,712799043,1
6345837,53075802,2
6345837,223940750,3
6345837,53075803,4
6346226,53077352,0
6346226,714242848,1
6346226,432429054,2
6346226,714242856,3
6346226,714242858,4
6346226,53077353,5
6346226,53077355,6
